Garden: Garden Name,Garden Geolocation (Latitude),Garden Geolocation (Longitude),Full Address,County,Neighborhood,Status,Number of Plots (Approximate),Total Square Footage (Approximate),Year Established,Website Page URL,Garden: ID,Micro-Network,Public Private,Zip Code,Category,Garden Type,Current Status,Garden Classification
St. Anthony North Community Garden,39.954184,-104.99069,"14300 Orchard Pkwy, Westminster, CO 80023",Jefferson,,Active,10,22800,2018,https://dug.org/find-gardens/St.-Anthony-North-Community-Garden/,a211N000002e639,1-Maroon: Northside Nasturtiums,Public,80023,General,Garden,Active - Public  Garden,Public  Garden
St. John's Cathedral Community Garden,39.737006,-104.978052,"1350 N Washington St, Denver, CO 80203",Denver,Capitol Hill,Active,19,3600,2017,https://dug.org/find-gardens/St.-John's-Cathedral-Community-Garden/,a211N000002e63E,4-Purple: Central Cucumbers,Public,80203,General,Garden,Active - Public  Garden,Public  Garden
St. Peter & St. Mary Community Garden,39.719121,-104.989672,"126 W. 2nd Ave., Denver, CO 80223",Denver,Baker,Active,6,350,2006,https://dug.org/find-gardens/St.-Peter-&-St.-Mary's-Community-Garden/,a211N000002JmAM,4-Purple: Central Cucumbers,Public,80223,General,Garden,Active - Public  Garden,Public  Garden
St. Thomas Church Community Garden,39.749205,-104.933181,"2201 Dexter Street, Denver, CO 80207",Denver,South Park Hill,Active,8,5000,2014,https://dug.org/find-gardens/St.-Thomas-Church-Community-Garden/,a211N000002JmAN,6-Yellow: East Central Endive,Public,80207,General,Garden,Active - Public  Garden,Public  Garden
Steck School Community Garden,39.724177,-104.938243,"425 Ash St., Denver, CO 80220",Denver,Hilltop,Active,17,5400,1995,https://dug.org/find-gardens/Steck-School-Community-Garden/,a211N000002JmAQ,6-Yellow: East Central Endive,Public,80220,School,Garden,Active - Public School  Garden,Public School  Garden
Steele School Community Garden,39.71096,-104.971416,"320 S. Marion Pkwy., Denver, CO 80209",Denver,Washington Park,Active,37,9100,1994,https://dug.org/find-gardens/Steele-School-Community-Garden/,a211N000002JmAR,4-Purple: Central Cucumbers,Public,80209,School,Garden,Active - Public School  Garden,Public School  Garden
Stevens School Community Garden,39.770364,-105.077772,"7101 W 38th Ave, Wheat Ridge, CO 80033",Jefferson,,Active,20,5250,2017,https://dug.org/find-gardens/Stevens-School-Community-Garden/,a211N000002JmAS,3-Green: SouthWest Sugar Snap Peas,Public,80033,School,Garden,Active - Public School  Garden,Public School  Garden
Stober Community Garden,39.752087,-105.133224,"2300 Urban St, Lakewood, CO 80215",Jefferson,,Active,20,3000,2021,https://dug.org/find-gardens/Stober-Community-Garden/,a211N000002hDgG,3-Green: SouthWest Sugar Snap Peas,Public,80215,School,Garden,Active - Public School  Garden,Public School  Garden
Sunshine Community Garden,39.790157,-105.084585,"5150 Allison St, Arvada, CO 80002",Jefferson,,Active,54,9700,2019,https://dug.org/find-gardens/Sunshine-Community-Garden/,a211N000002M6m7,3-Green: SouthWest Sugar Snap Peas,Public,80002,School,Garden,Active - Public School  Garden,Public School  Garden
Swansea School Community Garden,39.780938,-104.955788,"4650 Columbine St., Denver, CO 80216",Denver,Elyria Swansea,Active,10,5000,2023,https://dug.org/find-gardens/Swansea-School-Community-Garden/,a211N000002JmAU,2-Orange: Midtown Mung Beans,Public,80216,School,Garden,Active - Public School  Garden,Public School  Garden
Tennessee Gateway Food Forest,39.69874,-105.02056,"2701 W Tennessee Ave, Denver, CO 80219",Denver,,Active,,,2023,,a21Rd000000GAhl,,Public,80219,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Tennyson Center Community Garden,39.760117,-105.043371,"2950 Tennyson Street, Denver, CO 80212",Denver,West Highland,Active,6,3000,2018,https://dug.org/find-gardens/Tennyson-Center-Community-Garden/,a211N000002e63J,2-Orange: Midtown Mung Beans,Private,80212,General,Garden,Active - Private  Garden,Private  Garden
The Urban Farm Community Garden,39.768225,-104.870347,"10200 Smith Road, Denver, CO 80239",Denver,Central Park,Active,42,13200,2008,https://dug.org/find-gardens/The-Urban-Farm-Community-Garden/,a211N000002JmAO,6-Yellow: East Central Endive,Private,80239,,Garden,Active - Private  Garden,Private  Garden
The Urban Farm Food Forest,39.768225,-104.870347,"10200 Smith Rd, Denver, CO 80239",Denver,,Active,,,2023,,a21Rd000000GQjJ,,Public,80239,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Troy Chavez Memorial Peace Community Garden,39.769884,-105.010392,"3825 Shoshone St, Denver, CO 80211",Denver,Sunnyside,Active,20,10000,1995,https://dug.org/find-gardens/Troy-Chavez-Memorial-Peace-Community-Garden/,a211N000002Jm9x,2-Orange: Midtown Mung Beans,Public,80211,General,Garden,Active - Public  Garden,Public  Garden
Urquhart Memorial Community Garden,39.68978,-104.971838,"1350 E. Florida Ave., Denver, CO 80210",Denver,Washington Park,Active,14,6400,1997,https://dug.org/find-gardens/Urquhart-Memorial-Community-Garden/,a211N000002JmAZ,4-Purple: Central Cucumbers,Public,80210,General,Garden,Active - Public  Garden,Public  Garden
Ute Trail Community Garden,39.678981,-105.145433,"13600 W. Jewell Ave., Lakewood, CO 80228",Jefferson,,Active,38,19300,2011,https://dug.org/find-gardens/Ute-Trail-Community-Garden/,a211N000002JmAa,3-Green: SouthWest Sugar Snap Peas,Public,80228,General,Garden,Active - Public  Garden,Public  Garden
Ute Trail Food Forest,39.678981,-105.145433,"13600 W. Jewell Ave, Lakewood, CO 80228",Jefferson,,Active,,,2023,,a21Rd000000GQkv,,Public,80228,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Vista Peak Food Forest,39.723162,-104.700259,"24500 E 6th Ave, Aurora, CO 80018",Arapahoe,,Active,,,2023,,a21Rd000000GQub,,Public,80018,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
Vista Peak Prep Community Garden,39.723162,-104.700259,"24500 E 6th Ave, Aurora, CO 80018",Arapahoe,,Active,30,11100,2016,https://dug.org/find-gardens/Vista-Peak-Prep-Community-Garden/,a211N000002JmAb,7-Blue: Eastern Eggplants,Public,80018,School,Garden,Active - Public School  Garden,Public School  Garden
West Colfax Community Urban Garden,39.735202,-105.045879,"Vrain Street and West Wells Place, Denver, CO 80204",Denver,West Colfax,Active,38,11850,2012,https://dug.org/find-gardens/West-Colfax-Community-Urban-Garden/,a211N000002JmAc,4-Purple: Central Cucumbers,Public,80204,General,Garden,Active - Public  Garden,Public  Garden
Westminster Community Garden,39.828864,-105.042346,"72nd Avenue & Raleigh St., Westminster, CO 80030",Adams,,Active,32,13500,2004,https://dug.org/find-gardens/Westminster-Community-Garden/,a211N000002JmOG,1-Maroon: Northside Nasturtiums,Public,80030,General,Garden,Active - Public  Garden,Public  Garden
West Pines at Lutheran Community Garden,39.828864,-105.042346,", Wheat Ridge, CO ",Jefferson,,Active,6,500,2018,https://dug.org/find-gardens/West-Pines-at-Lutheran-Community-Garden/,a211N000002e63O,3-Green: SouthWest Sugar Snap Peas,Private,,,Garden,Active - Private  Garden,Private  Garden
West Washington Park Community Garden,39.719731,-104.984226,"201 Grant Street, Denver, CO 80203",Denver,Speer,Active,50,25000,1979,https://dug.org/find-gardens/West-Washington-Park-Community-Garden/,a211N000002JmAd,4-Purple: Central Cucumbers,Public,80203,General,Garden,Active - Public  Garden,Public  Garden
Westwood Community Garden,39.699044,-105.036466,"968 S. Newton St., Denver, CO 80219",Denver,Westwood,Active,12,5000,1996,https://dug.org/find-gardens/Westwood-Community-Garden/,a211N000002JmAe,5-Coral: Southern Spicy Peppers,Public,80219,General,Garden,Active - Public  Garden,Public  Garden
Wheat Ridge Food Forest,39.775847,-105.078265,"4226 Ammons St, Wheat Ridge, CO 80033",Jefferson,,Active,,,2023,https://dug.org/find-gardens/Wheatridge-Food-Forest/,a213l000004Cnnu,,Public,80033,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Wheat Ridge Town Center Community Garden,39.775847,-105.078265,"4340 Vance St., Wheat Ridge, CO 80033",Jefferson,,Active,17,5000,2012,https://dug.org/find-gardens/Wheat-Ridge-Town-Center-Community-Garden/,a211N000002JmAf,3-Green: SouthWest Sugar Snap Peas,Private,80033,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Wheat Ridge Town Center North Community Garden,39.776245,-105.078579,"7340 W 44th Ave, Wheat Ridge, CO 80033",Jefferson,,Active,20,5000,2014,https://dug.org/find-gardens/Wheat-Ridge-Town-Center-North-Community-Garden/,a211N000002JmAg,3-Green: SouthWest Sugar Snap Peas,Private,80033,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Whittier School Community Garden,39.75236,-104.971141,"2480 Downing St, Denver, CO 80205",Denver,Whittier,Active,22,15000,1979,https://dug.org/find-gardens/Whittier-School-Community-Garden/,a211N000002JmAh,2-Orange: Midtown Mung Beans,Public,80205,School,Garden,Active - Public School  Garden,Public School  Garden
Wild Sage Community Garden,39.667989,-104.886094,"8350 East Yale Avenue, Denver, CO 80231",Arapahoe,Hampden,Active,18,5000,2004,https://dug.org/find-gardens/Wild-Sage-Community-Garden/,a211N000002Jm8f,6-Yellow: East Central Endive,Public,80231,General,Garden,Active - Public  Garden,Public  Garden
Willow Glen Community Garden,39.742021,-105.110265,"1585 Kipling St., Lakewood, CO 80215",Jefferson,,Active,10,5000,2005,https://dug.org/find-gardens/Willow-Glen-Community-Garden/,a211N000002JmAi,3-Green: SouthWest Sugar Snap Peas,Private,80215,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Wonder Community Garden at Wyatt Academy,39.768013,-104.967373,"37th Avenue and Gilpin Street, Denver, CO 80205",Denver,Cole,Active,15,2000,2020,https://dug.org/find-gardens/Wonder-Community-Garden-at-Wyatt-Academy/,a213l000003Vzva,2-Orange: Midtown Mung Beans,Public,80205,School,Garden,Active - Public School  Garden,Public School  Garden
Wyman at DC21 Community Garden,39.742236,-104.965335,"1690 North Williams Street, Denver, CO 80218",Denver,City Park West,Active,13,5000,2015,https://dug.org/find-gardens/Wyman-at-DC21-Community-Garden/,a211N000002JmAl,2-Orange: Midtown Mung Beans,Public,80218,School,Garden,Active - Public School  Garden,Public School  Garden
Xenia Village Garden,39.738008,-104.886188,"1415 Xenia St., Denver, CO 80220",Denver,East Colfax,Active,15,5000,2008,https://dug.org/find-gardens/Xenia-Village-Garden/,a211N000002JmAm,6-Yellow: East Central Endive,Private,80220,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
